postcode,value,fk_offer
" ",1,0060I00000UxQFYQA3
1001,7,0060I00000UxQFYQA3
1010,31,0060I00000UxQFYQA3
1455,2,0060I00000UxQFYQA3
1481,2,0060I00000UxQFYQA3
1485,7,0060I00000UxQFYQA3
1675,1,0060I00000UxQFYQA3
1710,2,0060I00000UxQFYQA3
1800,1,0060I00000UxQFYQA3
2000,908,0060I00000UxQFYQA3
2002,32,0060I00000UxQFYQA3
2007,26,0060I00000UxQFYQA3
2008,6,0060I00000UxQFYQA3
2009,21,0060I00000UxQFYQA3
2010,25,0060I00000UxQFYQA3
2011,19,0060I00000UxQFYQA3
2015,17,0060I00000UxQFYQA3
2016,6,0060I00000UxQFYQA3
2017,80,0060I00000UxQFYQA3
2018,10,0060I00000UxQFYQA3
2019,6,0060I00000UxQFYQA3
2020,20,0060I00000UxQFYQA3
2021,7,0060I00000UxQFYQA3
2022,25,0060I00000UxQFYQA3
2024,2,0060I00000UxQFYQA3
2025,12,0060I00000UxQFYQA3
2026,25,0060I00000UxQFYQA3
2027,14,0060I00000UxQFYQA3
2028,4,0060I00000UxQFYQA3
2029,3,0060I00000UxQFYQA3
2030,64,0060I00000UxQFYQA3
2031,30,0060I00000UxQFYQA3
2032,22,0060I00000UxQFYQA3
2033,31,0060I00000UxQFYQA3
2034,34,0060I00000UxQFYQA3
2035,31,0060I00000UxQFYQA3
2036,24,0060I00000UxQFYQA3
2037,3,0060I00000UxQFYQA3
2039,3,0060I00000UxQFYQA3
2040,19,0060I00000UxQFYQA3
2041,5,0060I00000UxQFYQA3
2042,13,0060I00000UxQFYQA3
2043,2,0060I00000UxQFYQA3
2044,14,0060I00000UxQFYQA3
2046,22,0060I00000UxQFYQA3
2047,8,0060I00000UxQFYQA3
2049,4,0060I00000UxQFYQA3
2050,5,0060I00000UxQFYQA3
2057,10,0060I00000UxQFYQA3
2060,8,0060I00000UxQFYQA3
2061,9,0060I00000UxQFYQA3
2062,43,0060I00000UxQFYQA3
2064,9,0060I00000UxQFYQA3
2065,57,0060I00000UxQFYQA3
2066,20,0060I00000UxQFYQA3
2067,75,0060I00000UxQFYQA3
2068,5,0060I00000UxQFYQA3
2069,10,0060I00000UxQFYQA3
2070,51,0060I00000UxQFYQA3
2071,2,0060I00000UxQFYQA3
2072,5,0060I00000UxQFYQA3
2073,24,0060I00000UxQFYQA3
2074,16,0060I00000UxQFYQA3
2075,14,0060I00000UxQFYQA3
2076,29,0060I00000UxQFYQA3
2077,47,0060I00000UxQFYQA3
2081,5,0060I00000UxQFYQA3
2082,8,0060I00000UxQFYQA3
2085,3,0060I00000UxQFYQA3
2086,5,0060I00000UxQFYQA3
2087,23,0060I00000UxQFYQA3
2088,14,0060I00000UxQFYQA3
2089,21,0060I00000UxQFYQA3
2090,8,0060I00000UxQFYQA3
2093,7,0060I00000UxQFYQA3
2095,1,0060I00000UxQFYQA3
2096,1,0060I00000UxQFYQA3
2099,11,0060I00000UxQFYQA3
2100,3,0060I00000UxQFYQA3
2101,5,0060I00000UxQFYQA3
2103,1,0060I00000UxQFYQA3
2110,6,0060I00000UxQFYQA3
2111,12,0060I00000UxQFYQA3
2112,51,0060I00000UxQFYQA3
2113,31,0060I00000UxQFYQA3
2114,17,0060I00000UxQFYQA3
2115,11,0060I00000UxQFYQA3
2116,16,0060I00000UxQFYQA3
2117,25,0060I00000UxQFYQA3
2118,19,0060I00000UxQFYQA3
2119,7,0060I00000UxQFYQA3
2120,22,0060I00000UxQFYQA3
2121,46,0060I00000UxQFYQA3
2122,72,0060I00000UxQFYQA3
2125,5,0060I00000UxQFYQA3
2126,24,0060I00000UxQFYQA3
2127,37,0060I00000UxQFYQA3
2128,2,0060I00000UxQFYQA3
2131,24,0060I00000UxQFYQA3
2132,22,0060I00000UxQFYQA3
2133,64,0060I00000UxQFYQA3
2134,22,0060I00000UxQFYQA3
2135,23,0060I00000UxQFYQA3
2136,5,0060I00000UxQFYQA3
2137,40,0060I00000UxQFYQA3
2138,35,0060I00000UxQFYQA3
2140,29,0060I00000UxQFYQA3
2141,21,0060I00000UxQFYQA3
2142,15,0060I00000UxQFYQA3
2143,6,0060I00000UxQFYQA3
2144,7,0060I00000UxQFYQA3
2145,99,0060I00000UxQFYQA3
2146,4,0060I00000UxQFYQA3
2147,7,0060I00000UxQFYQA3
2148,27,0060I00000UxQFYQA3
2150,89,0060I00000UxQFYQA3
2151,16,0060I00000UxQFYQA3
2152,2,0060I00000UxQFYQA3
2153,52,0060I00000UxQFYQA3
2154,34,0060I00000UxQFYQA3
2155,37,0060I00000UxQFYQA3
2156,2,0060I00000UxQFYQA3
2160,46,0060I00000UxQFYQA3
2161,10,0060I00000UxQFYQA3
2163,4,0060I00000UxQFYQA3
2164,5,0060I00000UxQFYQA3
2165,9,0060I00000UxQFYQA3
2166,42,0060I00000UxQFYQA3
2168,22,0060I00000UxQFYQA3
2170,65,0060I00000UxQFYQA3
2171,42,0060I00000UxQFYQA3
2173,1,0060I00000UxQFYQA3
2176,11,0060I00000UxQFYQA3
2177,9,0060I00000UxQFYQA3
2178,6,0060I00000UxQFYQA3
2179,1,0060I00000UxQFYQA3
2190,14,0060I00000UxQFYQA3
2191,8,0060I00000UxQFYQA3
2192,7,0060I00000UxQFYQA3
2193,19,0060I00000UxQFYQA3
2194,15,0060I00000UxQFYQA3
2195,21,0060I00000UxQFYQA3
2196,6,0060I00000UxQFYQA3
2198,3,0060I00000UxQFYQA3
2199,6,0060I00000UxQFYQA3
2200,62,0060I00000UxQFYQA3
2203,1,0060I00000UxQFYQA3
2204,5,0060I00000UxQFYQA3
2205,18,0060I00000UxQFYQA3
2206,20,0060I00000UxQFYQA3
2207,16,0060I00000UxQFYQA3
2208,10,0060I00000UxQFYQA3
2209,45,0060I00000UxQFYQA3
2210,19,0060I00000UxQFYQA3
2211,39,0060I00000UxQFYQA3
2212,2,0060I00000UxQFYQA3
2213,18,0060I00000UxQFYQA3
2216,42,0060I00000UxQFYQA3
2217,31,0060I00000UxQFYQA3
2218,48,0060I00000UxQFYQA3
2219,1,0060I00000UxQFYQA3
2220,92,0060I00000UxQFYQA3
2221,16,0060I00000UxQFYQA3
2222,4,0060I00000UxQFYQA3
2223,9,0060I00000UxQFYQA3
2224,28,0060I00000UxQFYQA3
2226,8,0060I00000UxQFYQA3
2227,11,0060I00000UxQFYQA3
2228,7,0060I00000UxQFYQA3
2229,9,0060I00000UxQFYQA3
2230,9,0060I00000UxQFYQA3
2231,4,0060I00000UxQFYQA3
2232,17,0060I00000UxQFYQA3
2234,21,0060I00000UxQFYQA3
2250,3,0060I00000UxQFYQA3
2251,1,0060I00000UxQFYQA3
2257,1,0060I00000UxQFYQA3
2259,4,0060I00000UxQFYQA3
2260,4,0060I00000UxQFYQA3
2261,1,0060I00000UxQFYQA3
2289,2,0060I00000UxQFYQA3
2290,5,0060I00000UxQFYQA3
2291,3,0060I00000UxQFYQA3
2299,5,0060I00000UxQFYQA3
2305,3,0060I00000UxQFYQA3
2325,1,0060I00000UxQFYQA3
2452,1,0060I00000UxQFYQA3
2486,4,0060I00000UxQFYQA3
2489,1,0060I00000UxQFYQA3
2500,4,0060I00000UxQFYQA3
2517,2,0060I00000UxQFYQA3
2518,1,0060I00000UxQFYQA3
2529,6,0060I00000UxQFYQA3
2530,3,0060I00000UxQFYQA3
2534,2,0060I00000UxQFYQA3
2558,5,0060I00000UxQFYQA3
2560,17,0060I00000UxQFYQA3
2565,3,0060I00000UxQFYQA3
2566,5,0060I00000UxQFYQA3
2567,9,0060I00000UxQFYQA3
2571,1,0060I00000UxQFYQA3
2600,4,0060I00000UxQFYQA3
2602,1,0060I00000UxQFYQA3
2603,3,0060I00000UxQFYQA3
2605,2,0060I00000UxQFYQA3
2611,1,0060I00000UxQFYQA3
2612,5,0060I00000UxQFYQA3
2614,1,0060I00000UxQFYQA3
2617,4,0060I00000UxQFYQA3
2620,2,0060I00000UxQFYQA3
2640,1,0060I00000UxQFYQA3
2745,12,0060I00000UxQFYQA3
2747,6,0060I00000UxQFYQA3
2749,8,0060I00000UxQFYQA3
2750,3,0060I00000UxQFYQA3
2752,3,0060I00000UxQFYQA3
2753,1,0060I00000UxQFYQA3
2759,10,0060I00000UxQFYQA3
2760,52,0060I00000UxQFYQA3
2761,11,0060I00000UxQFYQA3
2762,1,0060I00000UxQFYQA3
2763,3,0060I00000UxQFYQA3
2765,12,0060I00000UxQFYQA3
2766,8,0060I00000UxQFYQA3
2767,13,0060I00000UxQFYQA3
2768,20,0060I00000UxQFYQA3
2769,7,0060I00000UxQFYQA3
2770,3,0060I00000UxQFYQA3
2774,5,0060I00000UxQFYQA3
2780,1,0060I00000UxQFYQA3
2782,10,0060I00000UxQFYQA3
2800,1,0060I00000UxQFYQA3
2810,2,0060I00000UxQFYQA3
2845,2,0060I00000UxQFYQA3
2900,5,0060I00000UxQFYQA3
2905,4,0060I00000UxQFYQA3
2906,18,0060I00000UxQFYQA3
2913,5,0060I00000UxQFYQA3
2914,10,0060I00000UxQFYQA3
3000,233,0060I00000UxQFYQA3
3003,10,0060I00000UxQFYQA3
3004,16,0060I00000UxQFYQA3
3006,20,0060I00000UxQFYQA3
3008,18,0060I00000UxQFYQA3
3011,2,0060I00000UxQFYQA3
3012,5,0060I00000UxQFYQA3
3015,2,0060I00000UxQFYQA3
3018,6,0060I00000UxQFYQA3
3019,1,0060I00000UxQFYQA3
3020,8,0060I00000UxQFYQA3
3021,21,0060I00000UxQFYQA3
3022,2,0060I00000UxQFYQA3
3023,20,0060I00000UxQFYQA3
3025,7,0060I00000UxQFYQA3
3027,3,0060I00000UxQFYQA3
3029,3,0060I00000UxQFYQA3
3030,15,0060I00000UxQFYQA3
3031,8,0060I00000UxQFYQA3
3032,14,0060I00000UxQFYQA3
3033,1,0060I00000UxQFYQA3
3034,4,0060I00000UxQFYQA3
3037,5,0060I00000UxQFYQA3
3039,2,0060I00000UxQFYQA3
3040,4,0060I00000UxQFYQA3
3041,1,0060I00000UxQFYQA3
3042,1,0060I00000UxQFYQA3
3044,5,0060I00000UxQFYQA3
3046,6,0060I00000UxQFYQA3
3047,2,0060I00000UxQFYQA3
3048,3,0060I00000UxQFYQA3
3049,1,0060I00000UxQFYQA3
3051,32,0060I00000UxQFYQA3
3053,1,0060I00000UxQFYQA3
3055,3,0060I00000UxQFYQA3
3056,7,0060I00000UxQFYQA3
3057,5,0060I00000UxQFYQA3
3058,6,0060I00000UxQFYQA3
3060,4,0060I00000UxQFYQA3
3064,10,0060I00000UxQFYQA3
3066,16,0060I00000UxQFYQA3
3072,8,0060I00000UxQFYQA3
3073,1,0060I00000UxQFYQA3
3075,2,0060I00000UxQFYQA3
3076,1,0060I00000UxQFYQA3
3079,2,0060I00000UxQFYQA3
3081,3,0060I00000UxQFYQA3
3083,11,0060I00000UxQFYQA3
3085,1,0060I00000UxQFYQA3
3087,1,0060I00000UxQFYQA3
3088,1,0060I00000UxQFYQA3
3095,1,0060I00000UxQFYQA3
3101,4,0060I00000UxQFYQA3
3103,12,0060I00000UxQFYQA3
3104,21,0060I00000UxQFYQA3
3108,12,0060I00000UxQFYQA3
3109,5,0060I00000UxQFYQA3
3111,1,0060I00000UxQFYQA3
3116,2,0060I00000UxQFYQA3
3121,1,0060I00000UxQFYQA3
3124,7,0060I00000UxQFYQA3
3125,1,0060I00000UxQFYQA3
3126,13,0060I00000UxQFYQA3
3128,7,0060I00000UxQFYQA3
3129,1,0060I00000UxQFYQA3
3130,10,0060I00000UxQFYQA3
3131,3,0060I00000UxQFYQA3
3132,5,0060I00000UxQFYQA3
3134,3,0060I00000UxQFYQA3
3135,6,0060I00000UxQFYQA3
3136,14,0060I00000UxQFYQA3
3140,2,0060I00000UxQFYQA3
3141,2,0060I00000UxQFYQA3
3142,11,0060I00000UxQFYQA3
3143,2,0060I00000UxQFYQA3
3145,13,0060I00000UxQFYQA3
3146,4,0060I00000UxQFYQA3
3147,1,0060I00000UxQFYQA3
3148,2,0060I00000UxQFYQA3
3149,5,0060I00000UxQFYQA3
3150,30,0060I00000UxQFYQA3
3151,2,0060I00000UxQFYQA3
3152,1,0060I00000UxQFYQA3
3153,2,0060I00000UxQFYQA3
3155,1,0060I00000UxQFYQA3
3156,3,0060I00000UxQFYQA3
3160,3,0060I00000UxQFYQA3
3162,8,0060I00000UxQFYQA3
3163,7,0060I00000UxQFYQA3
3165,6,0060I00000UxQFYQA3
3166,10,0060I00000UxQFYQA3
3167,5,0060I00000UxQFYQA3
3168,2,0060I00000UxQFYQA3
3170,8,0060I00000UxQFYQA3
3171,5,0060I00000UxQFYQA3
3172,1,0060I00000UxQFYQA3
3173,11,0060I00000UxQFYQA3
3174,1,0060I00000UxQFYQA3
3175,3,0060I00000UxQFYQA3
3178,5,0060I00000UxQFYQA3
3181,2,0060I00000UxQFYQA3
3182,3,0060I00000UxQFYQA3
3183,14,0060I00000UxQFYQA3
3185,2,0060I00000UxQFYQA3
3187,4,0060I00000UxQFYQA3
3188,2,0060I00000UxQFYQA3
3189,5,0060I00000UxQFYQA3
3192,4,0060I00000UxQFYQA3
3193,15,0060I00000UxQFYQA3
3194,5,0060I00000UxQFYQA3
3195,1,0060I00000UxQFYQA3
3196,4,0060I00000UxQFYQA3
3204,17,0060I00000UxQFYQA3
3205,2,0060I00000UxQFYQA3
3216,1,0060I00000UxQFYQA3
3222,3,0060I00000UxQFYQA3
3228,1,0060I00000UxQFYQA3
3338,5,0060I00000UxQFYQA3
3400,1,0060I00000UxQFYQA3
3555,1,0060I00000UxQFYQA3
3577,2,0060I00000UxQFYQA3
3752,5,0060I00000UxQFYQA3
3754,2,0060I00000UxQFYQA3
3798,3,0060I00000UxQFYQA3
3803,1,0060I00000UxQFYQA3
3919,1,0060I00000UxQFYQA3
3939,2,0060I00000UxQFYQA3
3977,6,0060I00000UxQFYQA3
4000,22,0060I00000UxQFYQA3
4006,9,0060I00000UxQFYQA3
4053,4,0060I00000UxQFYQA3
4059,2,0060I00000UxQFYQA3
4067,1,0060I00000UxQFYQA3
4070,1,0060I00000UxQFYQA3
4100,2,0060I00000UxQFYQA3
4101,2,0060I00000UxQFYQA3
4110,6,0060I00000UxQFYQA3
4113,19,0060I00000UxQFYQA3
4115,1,0060I00000UxQFYQA3
4116,1,0060I00000UxQFYQA3
4121,7,0060I00000UxQFYQA3
4122,6,0060I00000UxQFYQA3
4124,1,0060I00000UxQFYQA3
4159,1,0060I00000UxQFYQA3
4169,5,0060I00000UxQFYQA3
4211,9,0060I00000UxQFYQA3
4212,6,0060I00000UxQFYQA3
4213,5,0060I00000UxQFYQA3
4214,1,0060I00000UxQFYQA3
4215,5,0060I00000UxQFYQA3
4216,7,0060I00000UxQFYQA3
4217,12,0060I00000UxQFYQA3
4218,9,0060I00000UxQFYQA3
4220,9,0060I00000UxQFYQA3
4225,1,0060I00000UxQFYQA3
4226,1,0060I00000UxQFYQA3
4500,5,0060I00000UxQFYQA3
4508,8,0060I00000UxQFYQA3
4520,2,0060I00000UxQFYQA3
4551,2,0060I00000UxQFYQA3
4556,4,0060I00000UxQFYQA3
5011,4,0060I00000UxQFYQA3
5022,4,0060I00000UxQFYQA3
5063,2,0060I00000UxQFYQA3
5065,4,0060I00000UxQFYQA3
5072,4,0060I00000UxQFYQA3
5095,2,0060I00000UxQFYQA3
5113,1,0060I00000UxQFYQA3
5114,1,0060I00000UxQFYQA3
5290,1,0060I00000UxQFYQA3
5631,5,0060I00000UxQFYQA3
6021,3,0060I00000UxQFYQA3
6065,2,0060I00000UxQFYQA3
6103,5,0060I00000UxQFYQA3
6149,2,0060I00000UxQFYQA3
6160,1,0060I00000UxQFYQA3
6163,5,0060I00000UxQFYQA3
7010,1,0060I00000UxQFYQA3
akki,6,0060I00000UxQFYQA3
Morg,2,0060I00000UxQFYQA3
